deployment_id,risk_probability,risk_prediction,risk_band,unseen_categories,model_run,scored_at
UPC_00001,0.1882,GO,MEDIUM,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00002,0.2769,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00003,0.3369,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00004,0.2348,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00005,0.3770,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00006,0.2014,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00007,0.3221,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00008,0.3227,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00009,0.2827,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00010,0.1739,GO,MEDIUM,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00011,0.1825,GO,MEDIUM,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00012,0.1753,GO,MEDIUM,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00013,0.2528,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00014,0.2106,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00015,0.2615,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00016,0.1683,GO,MEDIUM,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00017,0.1806,GO,MEDIUM,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
