deployment_id,device_id,vendor_name,device_type,hardware_series,fleet_tier,current_firmware,target_firmware,firmware_fingerprint,version_jump_magnitude,kernel_touched,bootloader_touched,site_id,site_criticality,network_stress_score,cross_vendor_dependency_count,dependent_device_count,protocol_mismatch_flag,error_rate_predeploy,uptime_days,past_failure_count,firmware_release_age_days,cve_count,max_cvss_score,deployment_type,maintenance_window,deployment_date
UPC_00001,DEV_00096,Cisco,Switch,IE-3300,TIER_2,15.4.17,15.4.18,CIS-015418,0.14,0,0,SITE_002,LOW,0.133,0,2,0,0.026,155.2,0,299.8,2,0.3,SCHEDULED,1,2024-01-15
UPC_00002,DEV_01660,Schneider,Gateway,EGX300,TIER_2,1.8.7,1.8.11,SCH-001811,0.14,0,0,SITE_004,MEDIUM,0.078,3,1,0,0.026,132.3,0,264.0,2,2.6,SCHEDULED,1,2024-01-15
UPC_00003,DEV_01473,Schneider,HMI,Magelis-GTO,TIER_3,3.2.26,3.2.31,SCH-003231,0.69,0,0,SITE_017,MEDIUM,0.185,4,4,0,0.029,177.8,1,325.2,0,2.8,SCHEDULED,1,2024-01-15
UPC_00004,DEV_01354,Honeywell,HMI,Experion-Orion,TIER_2,3.3.30,3.3.33,HON-003333,0.49,0,0,SITE_017,MEDIUM,0.115,2,4,0,0.063,47.4,0,207.8,1,3.4,SCHEDULED,1,2024-01-15
UPC_00005,DEV_01791,Siemens,RTU,SICAM-TM,TIER_3,3.8.7,3.8.12,SIE-003812,0.47,0,0,SITE_014,LOW,0.063,4,7,0,0.042,51.2,1,375.9,0,2.2,SCHEDULED,1,2024-01-15
UPC_00006,DEV_01571,Schneider,RTU,T300,TIER_3,1.7.17,1.7.22,SCH-001722,1.34,0,0,SITE_002,LOW,0.158,1,2,0,0.023,41.8,0,295.0,1,3.9,SCHEDULED,1,2024-01-15
UPC_00007,DEV_00685,Cisco,Gateway,IR1101,TIER_3,15.6.29,15.6.31,CIS-015631,1.31,0,0,SITE_002,LOW,0.164,3,6,0,0.042,171.8,1,140.4,1,0.8,SCHEDULED,1,2024-01-15
UPC_00008,DEV_00617,Honeywell,Controller,Experion-C300L,TIER_2,6.7.1,6.7.4,HON-000674,1.08,0,0,SITE_004,MEDIUM,0.255,3,6,0,0.015,137.9,0,255.6,0,0.7,SCHEDULED,1,2024-01-15
UPC_00009,DEV_00246,Siemens,RTU,SICAM-A8000,TIER_2,2.3.2,2.3.6,SIE-000236,0.48,0,0,SITE_006,LOW,0.328,4,3,0,0.058,67.3,0,190.5,0,0.9,SCHEDULED,1,2024-01-15
UPC_00010,DEV_00865,Schneider,PLC,Quantum,TIER_3,1.1.30,1.1.31,SCH-001131,1.23,0,0,SITE_016,LOW,0.17,0,1,0,0.015,185.2,0,265.8,2,1.3,SCHEDULED,1,2024-01-15
UPC_00011,DEV_00405,Schneider,HMI,Magelis-GTO,TIER_2,5.0.19,5.0.23,SCH-005023,0.65,0,0,SITE_030,MEDIUM,0.324,0,2,0,0.042,75.0,1,166.5,2,2.2,SCHEDULED,1,2024-01-15
UPC_00012,DEV_00156,Siemens,PLC,S7-1500,TIER_3,4.2.38,4.2.43,SIE-004243,0.7,0,0,SITE_014,LOW,0.225,1,1,0,0.035,199.5,0,132.9,1,0.4,SCHEDULED,1,2024-01-15
UPC_00013,DEV_00952,Siemens,HMI,TP1500,TIER_2,4.5.18,4.5.19,SIE-004519,1.31,0,0,SITE_021,LOW,0.096,2,1,0,0.021,145.7,1,274.9,1,1.5,SCHEDULED,1,2024-01-15
